CÔNG TY TNHH MATRIX SEIKA,MATRIX SEIKA COMPANY LIMITED,vn0110168005,LLC1,0110168005,2022-11-01T00:00:00.000+0000,VN,"Số 28/18, Ngõ Gốc Đề, Đường Minh Khai",1010735,,NGUYỄN KHÁNH PHAN ,Giám đốc,Đang hoạt động,0,"[['4653', 'Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 1], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['2511', 'Sản xuất các cấu kiện kim loại', 0], ['2512', 'Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại', 0], ['2513', 'Sản xuất nồi hơi (trừ nồi hơi trung tâm)', 0], ['2591', 'Rèn, dập, ép và cán kim loại; luyện bột kim loại', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['2599', 'Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu', 0], ['2814', 'Sản xuất bi, bánh răng, hộp số, các bộ phận điều khiển và truyền chuyển động', 0], ['2821', 'Sản xuất máy nông nghiệp và lâm nghiệp', 0], ['2822', 'Sản xuất máy công cụ và máy tạo hình kim loại', 0], ['2829', 'Sản xuất máy chuyên dụng khác', 0], ['3311', 'Sửa chữa các sản phẩm kim loại đúc sẵn', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 0], ['3313', 'Sửa chữa thiết bị điện tử và quang học', 0], ['3314', 'Sửa chữa thiết bị điện', 0], ['3319', 'Sửa chữa thiết bị khác', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0]]"
Hộ Kinh doanh Hoa Thời Gian,,vn0102131308,LEGAL_TYPE_OTHER,0102131308,2007-01-04T17:00:00.000+0000,VN,"Số 10, phố Ngô Thì Nhậm",1010525,,Chu Bích Hạnh,Chủ Hộ Kinh Doanh,Đang hoạt động,0,[]
CÔNG TY TNHH 279 BÌNH PHƯỚC,,vn3801256785,LLC1,3801256785,2021-07-16T00:00:00.000+0000,VN,"Tổ 6, Khu phố 10",7071007,,HỨA ĐẠI THÔI ,Giám đốc,Đang hoạt động,0,"[['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0], ['4761', 'Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh', 0], ['4763', 'Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh', 0], ['4764', 'Bán lẻ trò chơi, đồ chơi trong các cửa hàng chuyên doanh', 0], ['4771', 'Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh', 0], ['4772', 'Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4511', 'Bán buôn ô tô và xe có động cơ khác', 0], ['4520', 'Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác', 0], ['4530', 'Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác', 0], ['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4633', 'Bán buôn đồ uống', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4651', 'Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4653', 'Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['6820', 'Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0], ['7310', 'Quảng cáo', 0], ['7320', 'Nghiên cứu thị trường và thăm dò dư luận', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['4690', 'Bán buôn tổng hợp', 0], ['4711', 'Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp', 0], ['4719', 'Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp', 0], ['4721', 'Bán lẻ lương thực trong các cửa hàng chuyên doanh', 0], ['4722', 'Bán lẻ thực phẩm trong các cửa hàng chuyên doanh', 0], ['1621', 'Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác', 0], ['1622', 'Sản xuất đồ gỗ xây dựng', 0], ['1623', 'Sản xuất bao bì bằng gỗ', 0], ['1629', 'Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện', 0], ['4781', 'Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ', 0], ['4782', 'Bán lẻ hàng dệt, may sẵn, giày dép lưu động hoặc tại chợ', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['5210', 'Kho bãi và lưu giữ hàng hóa', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['5621', 'Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng', 0], ['5629', 'Dịch vụ ăn uống khác', 0], ['5630', 'Dịch vụ phục vụ đồ uống', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['7911', 'Đại lý du lịch', 0], ['7912', 'Điều hành tua du lịch', 0], ['7990', 'Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch', 0], ['4101', 'Xây dựng nhà để ở', 1], ['4102', 'Xây dựng nhà không để ở', 0], ['4221', 'Xây dựng công trình điện', 0], ['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4223', 'Xây dựng công trình viễn thông, thông tin liên lạc', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4741', 'Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh', 0], ['4752', 'Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh', 0], ['4753', 'Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh', 0]]"
CÔNG TY TNHH TƯ VẤN XÂY DỰNG AN VIỆT CONS,,vn2100673203,LLC2,2100673203,2022-02-22T00:00:00.000+0000,VN,Ấp Đại Thôn B,8170515,,LÂM ANH NHÂN ,Chủ tịch Hội đồng quản trị kiêm Giám đốc,Đang hoạt động,0,"[['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0], ['7120', 'Kiểm tra và phân tích kỹ thuật', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 1], ['4312', 'Chuẩn bị mặt bằng', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0]]"
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH SÁNG TẠO VIỆT,SANG TAO VIET PRODUCTION AND TRADING COMPANY LIMITED,vn0316830416,LLC1,0316830416,2021-04-26T00:00:00.000+0000,VN,33 Cộng Hòa,7012707,,LÊ KHẢ THÀNH CÔNG ,Giám đốc,Đang hoạt động,0,"[['4764', 'Bán lẻ trò chơi, đồ chơi trong các cửa hàng chuyên doanh', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 1], ['2310', 'Sản xuất thuỷ tinh và sản phẩm từ thuỷ tinh', 0], ['1420', 'Sản xuất sản phẩm từ da lông thú', 0], ['1410', 'May trang phục (trừ trang phục từ da lông thú)', 0], ['1512', 'Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm', 0], ['4753', 'Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['1629', 'Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện', 0], ['4763', 'Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh', 0], ['4772', 'Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh', 0], ['4761', 'Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh', 0], ['1430', 'Sản xuất trang phục dệt kim, đan móc', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['2393', 'Sản xuất sản phẩm gốm sứ khác', 0], ['4722', 'Bán lẻ thực phẩm trong các cửa hàng chuyên doanh', 0], ['4771', 'Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh', 0], ['1392', 'Sản xuất hàng dệt sẵn (trừ trang phục)', 0], ['4751', 'Bán lẻ vải, len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['1520', 'Sản xuất giày, dép', 0], ['2392', 'Sản xuất vật liệu xây dựng từ đất sét', 0], ['2652', 'Sản xuất đồng hồ', 0], ['4641', 'Bán buôn vải, hàng may mặc, giày dép', 0], ['2220', 'Sản xuất sản phẩm từ plastic', 0], ['1623', 'Sản xuất bao bì bằng gỗ', 0], ['1621', 'Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác', 0]]"
CÔNG TY TNHH TƯ VẤN VÀ XÂY DỰNG ADC HÀ NỘI ,ADC HA NOI CONSTRUCTION AND CONSULTANCY COMPANY LIMITED ,vn0110233416,LLC1,0110233416,2023-01-16T00:00:00.000+0000,VN,"Ngõ 9, Tổ dân phố 8",1012717,,MAI VĂN DŨNG              ,Giám đốc,Đang hoạt động,0,"[['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 1], ['7120', 'Kiểm tra và phân tích kỹ thuật', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7490', 'Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu', 0], ['4690', 'Bán buôn tổng hợp', 0], ['1622', 'Sản xuất đồ gỗ xây dựng', 0], ['4799', 'Bán lẻ hình thức khác chưa được phân vào đâu', 0], ['4932', 'Vận tải hành khách đường bộ khác', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['8110', 'Dịch vụ hỗ trợ tổng hợp', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['4101', 'Xây dựng nhà để ở', 0], ['4102', 'Xây dựng nhà không để ở', 0], ['4211', 'Xây dựng công trình đường sắt', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4221', 'Xây dựng công trình điện', 0], ['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4223', 'Xây dựng công trình viễn thông, thông tin liên lạc', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4291', 'Xây dựng công trình thủy', 0], ['4292', 'Xây dựng công trình khai khoáng', 0], ['4293', 'Xây dựng công trình chế biến, chế tạo', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0]]"
CÔNG TY TNHH TƯ VẤN VÀ XÂY LẮP HƯNG THỊNH,,vn4300704029,LLC2,4300704029,2013-01-09T00:00:00.000+0000,VN,Thôn Gò Da,5051317,,NGUYỄN THÀNH DIÊU ,Giám đốc,Đang hoạt động,0,"[['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4223', 'Xây dựng công trình viễn thông, thông tin liên lạc', 0], ['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 1], ['7710', 'Cho thuê xe có động cơ', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4653', 'Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['0121', 'Trồng cây ăn quả', 0], ['0141', 'Chăn nuôi trâu, bò và sản xuất giống trâu, bò', 0], ['0142', 'Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa', 0], ['0144', 'Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai', 0], ['0145', 'Chăn nuôi lợn và sản xuất giống lợn', 0], ['0146', 'Chăn nuôi gia cầm', 0], ['0150', 'Trồng trọt, chăn nuôi hỗn hợp', 0], ['0161', 'Hoạt động dịch vụ trồng trọt', 0], ['0162', 'Hoạt động dịch vụ chăn nuôi', 0], ['0163', 'Hoạt động dịch vụ sau thu hoạch', 0], ['0164', 'Xử lý hạt giống để nhân giống', 0], ['0210', 'Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp', 0], ['0220', 'Khai thác gỗ', 0], ['4101', 'Xây dựng nhà để ở', 0], ['4102', 'Xây dựng nhà không để ở', 0], ['4211', 'Xây dựng công trình đường sắt', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4221', 'Xây dựng công trình điện', 0], ['0810', 'Khai thác đá, cát, sỏi, đất sét', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4291', 'Xây dựng công trình thủy', 0], ['4292', 'Xây dựng công trình khai khoáng', 0], ['4293', 'Xây dựng công trình chế biến, chế tạo', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0]]"
Bùi Đức Phong,,vn8018368303,LEGAL_TYPE_OTHER,8018368303,2011-10-10T08:10:03.000+0000,VN,"Số 279, tổ 15, phường Nguyễn Thái Học",2130105,,Bùi Đức Phong,Chủ hộ kinh doanh,Đang hoạt động,0,[]
VIện Dân tộc học,Institute of Anthropology,vn0103223696,NON_BUSINESS_UNIT,0103223696,2009-01-16T08:12:14.000+0000,VN,Số 1 Liễu Giai,1010109,viendantochoc.vass.gov.vn,Nguyễn Văn Minh,Viện Trưởng,Đang hoạt động,0,[]
CÔNG TY TNHH HOA PHƯƠNG LAN,,vn0315011904,LLC1,0315011904,2018-04-24T00:00:00.000+0000,VN," 115/5G, Đường Thới Tam Thôn 15, Ấp Tam Đông 2",7013707,,NGUYỄN HỮU HÀO ,Giám đốc,Đang hoạt động,0,"[['0163', 'Hoạt động dịch vụ sau thu hoạch', 0], ['0240', 'Hoạt động dịch vụ lâm nghiệp', 0], ['1104', 'Sản xuất đồ uống không cồn, nước khoáng', 0], ['1811', 'In ấn', 0], ['5012', 'Vận tải hàng hóa ven biển và viễn dương', 0], ['5021', 'Vận tải hành khách đường thuỷ nội địa', 0], ['5210', 'Kho bãi và lưu giữ hàng hóa', 0], ['5224', 'Bốc xếp hàng hóa', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4912', 'Vận tải hàng hóa đường sắt', 0], ['4931', 'Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)', 0], ['4932', 'Vận tải hành khách đường bộ khác', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['6820', 'Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['1512', 'Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm', 1], ['2220', 'Sản xuất sản phẩm từ plastic', 0], ['5221', 'Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['5590', 'Cơ sở lưu trú khác', 0], ['5630', 'Dịch vụ phục vụ đồ uống', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4511', 'Bán buôn ô tô và xe có động cơ khác', 0], ['4513', 'Đại lý ô tô và xe có động cơ khác', 0]]"
